Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
11	S2PY	TV any more no no no and even on Iplayer when I sort of yeah sometimes in the evening I	'm sitting	there and think oh I 'm bored I 'll s- see if there 's anything there 's nothing that I	TV_NN1 any_DD more_DAR no_UH no_UH no_UH and_CC even_RR on_II Iplayer_NP1 when_CS I_PPIS1 sort_RR21 of_RR22 yeah_UH sometimes_RT in_II the_AT evening_NNT1 I_PPIS1	'm_VBM sitting_VVG	there_RL and_CC think_VV0 oh_UH I_PPIS1 'm_VBM bored_JJ I_PPIS1 'll_VM s-_FU see_VVI if_CSW there_EX 's_VBZ anything_PN1 there_EX 's_VBZ nothing_PN1 that_CST I_PPIS1	Chatting over a cup of tea	Discussing	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	0:53:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends		T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=10	294755	294756
12	S2T6	they ? no mm no they but I can remember when erm --ANONnameF 's cousin came last year and they	were sitting	it was summer then and we ha- we had we were sitting outside and had a meal in the garden	they_PPHS2 ?_YQUE no_UH mm_UH no_UH they_PPHS2 but_CCB I_PPIS1 can_VM remember_VVI when_RRQ erm_UH --ANONnameF_NP1 's_GE cousin_NN1 came_VVD last_MD year_NNT1 and_CC they_PPHS2	were_VBDR sitting_VVG	it_PPH1 was_VBDZ summer_NNT1 then_RT and_CC we_PPIS2 ha-_FU we_PPIS2 had_VHD we_PPIS2 were_VBDR sitting_VVG outside_RL and_CC had_VHD a_AT1 meal_NN1 in_II the_AT garden_NN1		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=11	317773	317774
13	S2T6	--ANONnameF 's cousin came last year and they were sitting it was summer then and we ha- we had we	were sitting	outside and had a meal in the garden and er they had a little girl who was three I should	--ANONnameF_NP1 's_GE cousin_NN1 came_VVD last_MD year_NNT1 and_CC they_PPHS2 were_VBDR sitting_VVG it_PPH1 was_VBDZ summer_NNT1 then_RT and_CC we_PPIS2 ha-_FU we_PPIS2 had_VHD we_PPIS2	were_VBDR sitting_VVG	outside_RL and_CC had_VHD a_AT1 meal_NN1 in_II the_AT garden_NN1 and_CC er_UH they_PPHS2 had_VHD a_AT1 little_JJ girl_NN1 who_PNQS was_VBDZ three_MC I_PPIS1 should_VM		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=12	317785	317786
14	S2T6	stuff for your breakfast down in the bar right ? yeah and so you 'd get up and you 'd	be sitting	in the bar and there 'd be a kettle there and a bowl of cornflakes yeah or something and a	stuff_NN1 for_IF your_APPGE breakfast_NN1 down_RP in_II the_AT bar_NN1 right_RR ?_YQUE yeah_UH and_CC so_CS you_PPY 'd_VM get_VVI up_RP and_CC you_PPY 'd_VM	be_VBI sitting_VVG	in_II the_AT bar_NN1 and_CC there_EX 'd_VM be_VBI a_AT1 kettle_NN1 there_RL and_CC a_AT1 bowl_NN1 of_IO cornflakes_NN2 yeah_UH or_CC something_PN1 and_CC a_AT1		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=13	321896	321897
15	S2T6	something and a toaster yeah you know right like all all you know it was plenty good enough and you	were sitting	there yeah and that 's how bloody trusting they are yeah cos you 've got a bar full of full	something_PN1 and_CC a_AT1 toaster_NN1 yeah_UH you_PPY know_VV0 right_RR like_RR all_DB all_DB you_PPY know_VV0 it_PPH1 was_VBDZ plenty_RR good_JJ enough_RR and_CC you_PPY	were_VBDR sitting_VVG	there_RL yeah_UH and_CC that_DD1 's_VBZ how_RRQ bloody_RR trusting_VVG they_PPHS2 are_VBR yeah_UH cos_CS you_PPY 've_VH0 got_VVN a_AT1 bar_NN1 full_JJ of_IO full_JJ		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=14	321935	321936
16	S32W	it 's about her keeping up the Spanish cos I 'm happy to like I say if it it 'd	be sitting	in and just just learning bits and bobs and just trying to have a a grounding of it mhm whereas	it_PPH1 's_VBZ about_II her_PPHO1 keeping_VVG up_RP the_AT Spanish_JJ cos_CS I_PPIS1 'm_VBM happy_JJ to_II like_CS I_PPIS1 say_VV0 if_CS it_PPH1 it_PPH1 'd_VM	be_VBI sitting_VVG	in_RP and_CC just_RR just_RR learning_VVG bits_NN2 and_CC bobs_NN2 and_CC just_RR trying_VVG to_TO have_VHI a_AT1 a_AT1 grounding_NN1 of_IO it_PPH1 mhm_UH whereas_CS	Acquaintances chatting in a café.	Discussing, explaining, inquiring, advising	Original	Texts within Sample release	S0007 S0018	2	2012-03-27	1:00:29	A leisure centre café, Birmingham	2012 Q1	2012	Acquaintances	Studies, work, sports, relationships, driving	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=15	441310	441311
17	S32W	do what I do so we just kind of both went like that and just got into VIP and we	were sitting	down and he it he being er he was n't obviously afraid to to go and say hello to er	do_VD0 what_DDQ I_PPIS1 do_VD0 so_RR we_PPIS2 just_RR kind_NN1 of_IO both_DB2 went_VVD like_II that_DD1 and_CC just_RR got_VVN into_II VIP_NN1 and_CC we_PPIS2	were_VBDR sitting_VVG	down_RP and_CC he_PPHS1 it_PPH1 he_PPHS1 being_NN1 er_UH he_PPHS1 was_VBDZ n't_XX obviously_RR afraid_JJ to_TO to_TO go_VVI and_CC say_VVI hello_UH to_II er_UH	Acquaintances chatting in a café.	Discussing, explaining, inquiring, advising	Original	Texts within Sample release	S0007 S0018	2	2012-03-27	1:00:29	A leisure centre café, Birmingham	2012 Q1	2012	Acquaintances	Studies, work, sports, relationships, driving	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=16	443292	443293
18	S35K	right car yeah and the erm and er I 'm sort of a valley in front of us and we	're standing	there and it was er well it looks like the end of the road mm just looking at the valley	right_JJ car_NN1 yeah_UH and_CC the_AT erm_UH and_CC er_UH I_PPIS1 'm_VBM sort_RR21 of_RR22 a_AT1 valley_NN1 in_II31 front_II32 of_II33 us_PPIO2 and_CC we_PPIS2	're_VBR standing_VVG	there_RL and_CC it_PPH1 was_VBDZ er_UH well_JJ it_PPH1 looks_VVZ like_II the_AT end_NN1 of_IO the_AT road_NN1 mm_UH just_RR looking_VVG at_II the_AT valley_NN1	Some new acquaintances having coffee on a Sunday morning.  	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, anecdote telling, telling jokes	Revised	Texts within Sample release	S0262 S0372	2	2015-03-03	1:28:53	At ANON's house in Northern Cyprus	2015 Q1	2015	Acquaintances	asking about some experiences in Northern Cyprus	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=17	499616	499617
19	S35U	car are you alright ? where the drivers are going mm fine yeah like that all the way round I	'm sitting	directly facing the sun cos it 's not stable oh God yeah well I I do n't like to look	car_NN1 are_VBR you_PPY alright_JJ ?_YQUE where_CS the_AT drivers_NN2 are_VBR going_VVG mm_UH fine_JJ yeah_UH like_RR that_DD1 all_DB the_AT way_NN1 round_RP I_PPIS1	'm_VBM sitting_VVG	directly_RR facing_VVG the_AT sun_NN1 cos_CS it_PPH1 's_VBZ not_XX stable_JJ oh_UH God_NP1 yeah_UH well_RR I_PPIS1 I_PPIS1 do_VD0 n't_XX like_VVI to_TO look_VVI	Family chatting in the garden, eating dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0038 S0083 S0084 S0086	4	2012-03-24	1:32:43	ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends		T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=18	519550	519551
20	S35U	right they 've never learnt any songs together but they all know what to do yeah mm and I 'd	be standing	there like um but it 's entertaining mm um I guess he had a sort of an upbringing like mine	right_RR they_PPHS2 've_VH0 never_RR learnt_VVN any_DD songs_NN2 together_RL but_CCB they_PPHS2 all_DB know_VV0 what_DDQ to_TO do_VDI yeah_UH mm_UH and_CC I_PPIS1 'd_VM	be_VBI standing_VVG	there_RL like_RR um_UH but_CCB it_PPH1 's_VBZ entertaining_JJ mm_UH um_UH I_PPIS1 guess_VV0 he_PPHS1 had_VHD a_AT1 sort_NN1 of_IO an_AT1 upbringing_NN1 like_II mine_PPGE	Family chatting in the garden, eating dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0038 S0083 S0084 S0086	4	2012-03-24	1:32:43	ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends		T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=19	526091	526092
