V1,V2,V3,V4,V5,V6,V7,V8,V9
Twitter,64785,59.9,43348,40.1,9361,40.2,13931,59.8
GloWbE,2182,6.3,32655,93.7,836,4.1,19498,95.9
Bank of English,468,3,15045,97,253,2.3,10860,97.7
BNC,273,33.7,537,66.3,66,27.5,174,72.5
